t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,0.0,0.0,0.0,1.0,-4.99955850383918e-24,0.0,-1.274631336340194e-25,0.0,7.469599462384947e-20,5.539200563850532e-24,0.0,0.0,2.5906689554949246e-22,0.002251298293350606,-0.006031093149748374,0.5421448563890977,7.6045806550284105,2.847041343428696,-6.389857860752308,0.5000006085445146,4.488074497511804,3.1512626263606087,4.48807028802024,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0214672,2.597820439389431e-07,-6.964829948136385e-07,0.0001254715226596905,0.9999992914292265,0.0008762631295175322,0.00032763959883792815,-0.0007361766235839168,4.832908010211255e-05,-0.00012947070799031518,0.011638334319696717,0.16324908551894302,0.061118017788664145,-0.13717238328902262,0.018727169329691744,-0.045141420106153504,1.675625846869366,5.718215969326606,4.339477212899549,-4.818516740105308,0.5000006654830764,4.5154066338669185,4.51537697134323,4.51540161971381,0.9999778073895789,2.21926104212207e-05,0.08464487256265918,0.999978152818792,2.1847181208038398e-05,0.08004735648693295,0.9999785006769559,2.1499323044007016e-05,0.08020325242324693,0.999979161079997,2.0838920003064805e-05,0.00023975839792787974,0.9999798214335179,2.017856648202955e-05,0.080062977103224,0.9999807829262801,1.9217073719866985e-05,0.08001856520701113,0.9999818014159275,1.8198584072479686e-05,0.08002502459029603,0.999983054917086,1.694508291410293e-05,0.00029480118495024617,0.9999843082547664,1.5691745233613927e-05,0.08000996719961666,0.9999856302692026,1.436973079737601e-05,0.08000280966423717,0.9999869828291036,1.3017170896381223e-05,0.08000294114610404,0.9999883664707916,1.163352920841201e-05,0.0004292163291941961,0.9999897499177856,1.0250082214408436e-05,0.07999897495916893,0.9999911508585586,8.849141441380988e-06,0.07999638117732313,0.9999925648040269,7.435195973153295e-06,0.07999646292144434,0.9999939902324954,6.009767504606019e-06,0.0008298076004361958,0.9999954154669171,4.584533082893323e-06,0.07999473594795144,0.9999968538542753,3.1461457246347352e-06,0.07999315013080781,0.9999983232615084,1.6767384915453308e-06,0.0799934680536613,0.9999999261946694,7.380533063013932e-08,0.04874300973917418
0.0429344,4.60771153853026e-06,-1.1766305973365702e-05,0.0007631219253063698,0.9999896768631237,0.0032880827576432965,0.0014828413246491816,-0.002763293055732319,0.00045034904755542017,-0.001098530789756054,0.04760933648040777,0.2860031951982357,0.15427446109204526,-0.24061246592655383,0.05630799788801407,-0.11564820376478095,1.697663553679806,5.724069313875375,4.419593385361571,-4.851295079127774,0.5000007360064274,4.542738762572993,4.542724769684119,4.542732642390698,0.9999556183337162,2.2189055862711064e-05,0.08420417325480398,0.9999561324243266,2.2020394465398276e-05,0.08005103336568609,0.9999566480242937,2.185265266219586e-05,0.08040894779266866,0.9999576505073843,2.1510572612602238e-05,0.00023256062990119656,0.999958652147762,2.1169285755909512e-05,0.080135341753998,0.9999602583886082,2.052453767189349e-05,0.08002865277799907,0.9999619560833479,1.984533257960301e-05,0.08005217226624066,0.9999647213300887,1.833358699720709e-05,0.00027277649051873324,0.999967480267508,1.682798725829457e-05,0.08001505915975972,0.9999703636900771,1.5266579125482005e-05,0.08000454219415107,0.9999732820318855,1.3700797218122596e-05,0.08000431763840685,0.9999762205591064,1.2145911685224904e-05,0.00041141580610950515,0.9999791519096347,1.0598008150865907e-05,0.07999936989978855,0.9999820766886771,9.074169881544707e-06,0.0799965561144206,0.9999849894272148,7.575376812068078e-06,0.07999656519112402,0.9999878810483848,6.109184110587353e-06,0.0008166208467435469,0.9999907655970599,4.649869857204037e-06,0.079994769249296,0.9999936349504637,3.218903811648518e-06,0.07999318069457624,0.9999965637918221,1.7594696862802116e-06,0.07999349914815838,0.9999998459251507,8.026951868549772e-08,0.046340593968211725
0.0644016,2.5384539554176345e-05,-5.8728654315310054e-05,0.00217810375532032,0.9999512895480202,0.007019549551723686,0.0036467287867922465,-0.005903022414822029,0.0016591243344008103,-0.00358117439141542,0.08405342659257083,0.4088829598200112,0.24915077462667376,-0.3447562078601054,0.11649054606486103,-0.2168918353479347,1.7177410814309018,5.712367427995826,4.521817030594132,-4.884085391664193,0.500000825160882,4.570070881618217,4.570062082817222,4.570063186080047,0.9999334320619615,2.2186271754713236e-05,0.08390488697398782,0.9999340656008513,2.206682347531828e-05,0.08005209170968865,0.9999347002845425,2.19477397512612e-05,0.08055349889542057,0.9999359455893188,2.1704918065553488e-05,0.00023256218748308335,0.9999371865755015,2.1465572260547077e-05,0.08019359005926108,0.9999391931413,2.1065247308365937e-05,0.08003478202956658,0.9999412894070066,2.0666676341368505e-05,0.08008714722413232,0.9999458209968818,1.890033320698427e-05,0.0002666917585578339,0.9999502962352647,1.7184032243438168e-05,0.08001712658542869,0.9999548828606641,1.54808294129371e-05,0.08000500430924293,0.9999594857872621,1.3796244623297079e-05,0.08000452762895666,0.9999640642150603,1.215634404616697e-05,0.00041314090418628367,0.999968584079088,1.0567830546751291e-05,0.07999933468770679,0.9999730520856545,9.024603022624617e-06,0.07999651718110762,0.9999774767291856,7.512698029245838e-06,0.07999651926731857,0.9999818328339256,6.048214459272921e-06,0.000826900453658618,0.9999861347323337,4.630864726292828e-06,0.07999475950055453,0.9999903795037033,3.2554467602676395e-06,0.0799931961073564,0.9999947458203016,1.8179715206555555e-06,0.07999352129877887,0.9999997619061608,8.401898991966919e-08,0.04502355659177285
0.0858688,8.512437666598118e-05,-0.00018114993434928772,0.004380159889123067,0.9998521161757611,0.012070574894852784,0.006840214280246284,-0.010161605525739104,0.004159850670193724,-0.008237235702786077,0.12092852509211686,0.5315115176684823,0.3462215440241109,-0.449603866127546,0.19915602017176154,-0.34928914877641637,1.7346332512552685,5.6821943123974235,4.6461961398310265,-4.916877836027947,0.5000009411808045,4.597402988070917,4.597396788404441,4.597392938204281,0.9999112482171675,2.2183844793956934e-05,0.08366096626477591,0.999911975798481,2.2089802370307743e-05,0.08005262567061765,0.99991270430347,2.1995981072472158e-05,0.08067271740129399,0.9999141477506752,2.1797838643472665e-05,0.00023880976581046074,0.9999155784752307,2.1608100270790627e-05,0.08024146819272275,0.9999178423011668,2.135084013316702e-05,0.08003875289702257,0.999920182367239,2.1107039767640224e-05,0.08012706965426325,0.9999267170662351,1.9103930646592592e-05,0.0002711037678839888,0.9999329969568853,1.7299278379379195e-05,0.08001785876294373,0.999939362294989,1.55205656750639e-05,0.08000509214740412,0.9999457367816184,1.3749005643753495e-05,0.08000442324008832,0.999952052133173,1.2012081887432644e-05,0.0004252873547125944,0.9999581170375965,1.0467041491472547e-05,0.07999921841580017,0.9999641037574569,8.948328197610009e-06,0.07999645776827123,0.9999700516864919,7.425042693726707e-06,0.07999645574783447,0.9999759068897981,5.925944127443679e-06,0.0008510676758646577,0.9999815359819199,4.598750413824863e-06,0.07999474304096267,0.9999870893847994,3.290118903918058e-06,0.07999321074654045,0.9999928776184178,1.868201883654772e-06,0.07999354043865031,0.9999996751356094,8.677055135396934e-08,0.04409478480827854
0.107336,0.0002167542327245513,-0.0004328562588977889,0.007377864056970045,0.9996476799665418,0.01843666299932834,0.011089148767983201,-0.015544639609685922,0.00843517361612555,-0.015735497172566882,0.15816625125009073,0.6534923430840756,0.4459623851535321,-0.5551554864932482,0.3040587382869035,-0.5132776754624312,1.7466629243905514,5.632463187953578,4.792620514263376,-4.949669744490529,0.5000010979644047,4.6247350777023675,4.624730456636364,4.624721263973843,0.9998890664690072,2.2181748160226317e-05,0.08344807162454249,0.9998898718154078,2.2103983073284254e-05,0.08005295493535977,0.9998906779217245,2.2026381745506136e-05,0.08077795087743471,0.9998922951091387,2.185264153652003e-05,0.0002559286162601733,0.9998938863012692,2.16921739615323e-05,0.08028161665779884,0.9998963197708189,2.152253034787162e-05,0.08004145673355528,0.9998988151934581,2.1367173780800955e-05,0.0801699889725734,0.9999076031830016,1.91138832334828e-05,0.00028865730946547354,0.9999156530028386,1.7343954046712006e-05,0.08001814985833103,0.999923829968541,1.553232644808537e-05,0.0800051179518133,0.999932047799605,1.3688982013493914e-05,0.08000429233330246,0.9999402510808558,1.1801052317070356e-05,0.0004503822566886659,0.9999477338963257,1.038314127067184e-05,0.07999912308081619,0.9999551930102464,8.910747210572783e-06,0.07999642880988658,0.9999626912828488,7.360403643117903e-06,0.07999640953434478,0.9999701576434109,5.7492463871750866e-06,0.0008944794249456218,0.9999769618102011,4.574171718672977e-06,0.07999473036094339,0.9999837597280589,3.3296567405375833e-06,0.0799932274457632,0.9999909636599,1.9139585177727172e-06,0.07999355798673344,0.9999995860988609,8.903674852276089e-08,0.04335784193417096
0.128803,0.0004635107743105313,-0.0008821312369381423,0.011177952770970754,0.999280790662632,0.026108485612956155,0.01642417492466822,-0.0220566174676701,0.014962464629412224,-0.026754133825611582,0.19566222085731097,0.7744055802978239,0.5488465482237835,-0.6614110574529122,0.4308029517789817,-0.7092869956037915,1.7516858521238783,5.561907785495423,4.960813491370796,-4.982458661619405,0.5000013209529174,4.652067144181423,4.652063609498089,4.652046670952425,0.9998668864008653,2.218006814195591e-05,0.08325548796116601,0.9998677579736545,2.2113841753259394e-05,0.08005317837296581,0.9998686301669601,2.2047754764337537e-05,0.08087443156625473,0.9998704043233444,2.1890785794289482e-05,0.00029110570230510464,0.9998721387548093,2.174754645993152e-05,0.08031561960182654,0.9998746848139456,2.163495687331625e-05,0.0800433823086824,0.9998772805677301,2.153462572811626e-05,0.0802149763806007,0.9998885282984605,1.907488454102395e-05,0.0003247587464223179,0.9998982687601335,1.738424270511672e-05,0.08001841462325061,0.9999082660948972,1.5563873643701826e-05,0.08000518779545839,0.9999183678196487,1.3679979956334238e-05,0.08000427317420084,0.9999286347165791,1.1616364276690462e-05,0.0004926291122682465,0.9999373671633538,1.0366732971929752e-05,0.07999910444607779,0.9999462582342034,8.934776043003525e-06,0.07999644765909353,0.9999553447045769,7.346578271746696e-06,0.07999640006542194,0.9999646241737109,5.533469700007774e-06,0.000963620061321318,0.9999723889709722,4.572839228827717e-06,0.07999472933393305,0.9999803840178149,3.375710244096591e-06,0.07999324689827111,0.9999890070256484,1.956634251741102e-06,0.07999357446851206,0.9999994950205786,9.10782823111241e-08,0.04272123814432788
0.15027,0.0008787935087984885,-0.0016119170599025751,0.015784445389080796,0.9986813167133829,0.03507136180967437,0.022880490827808943,-0.029700331459002017,0.024210599550603,-0.041980542572586065,0.23326601867969401,0.8938041902819829,0.6553413442729014,-0.7683705147909665,0.5788129787979457,-0.9376998860757063,1.7470736955232242,5.469079952363057,5.150318109944789,-5.015238904950633,0.5000016622533613,4.679399177582407,4.679396470021237,4.679364708817716,0.9998447074471933,2.2178953671896756e-05,0.08307744381015564,0.9998456366948447,2.2121278809759822e-05,0.08005333700083021,0.9998465664309759,2.2063735984217613e-05,0.08096492786189023,0.9998484833216935,2.192100165088065e-05,0.00035395326909664086,0.9998503523212445,2.1786433564859038e-05,0.08034438319119461,0.9998529718866653,2.1712927280209016e-05,0.0800448041944597,0.9998556312582055,2.1649309524436245e-05,0.08026147212420923,0.9998693771541403,1.915114432030132e-05,0.0003868657835759557,0.9998808300624936,1.7438697639853315e-05,0.08001877802361315,0.9998926487267211,1.5617368176003868e-05,0.08000530729680247,0.9999046230390156,1.374478063313471e-05,0.08000441505956783,0.9999170222980689,1.1612418510331432e-05,0.0005558560030979948,0.9999269206987299,1.0446464623955102e-05,0.07999919440024268,0.999937239471224,9.018762979296592e-06,0.07999651351408642,0.9999479429649119,7.401739665053166e-06,0.07999644028120545,0.9999592561551447,5.368018566255537e-06,0.0010541780944057486,0.9999677782746772,4.610696295048626e-06,0.07999474799892783,0.9999769562152463,3.427802568483059e-06,0.07999326889147591,0.9999870101824253,1.996843223129023e-06,0.07999359012118047,0.9999994019358099,9.30847686875332e-08,0.042126487739385224
0.171738,0.0015259421831312365,-0.0027200033715625216,0.021197544847706726,0.9977659930581712,0.04530464249592697,0.03049751578505795,-0.038476136460598685,0.036636095940437395,-0.062110337473486384,0.27077080639468487,1.0112100462199942,0.7659042746593628,-0.8760336723052262,0.7472957988543651,-1.1988011466138226,1.7296921465707513,5.352333524923877,5.360492562538523,-5.047984542340331,0.5000022479807057,4.706731161409659,4.706729149328801,4.706654021183455,0.9998225288464347,2.217860075859907e-05,0.08291046257878579,0.9998235094117084,2.2127283136340437e-05,0.0800534507351108,0.9998244903309267,2.207610004920985e-05,0.0810509841786508,0.999826538045196,2.1945276497607495e-05,0.00045671050755145213,0.9998285375634876,2.1814757756922393e-05,0.08036840170671142,0.9998312028143165,2.1769072348912524e-05,0.08004588410814353,0.9998339000761924,2.1731182013201632e-05,0.0803090537204103,0.9998499955663016,1.9381587838586794e-05,0.00048675846188682897,0.9998633357998881,1.7494262605594133e-05,0.08001915314286595,0.9998769743289632,1.5674397758074934e-05,0.08000543556304325,0.9998907624497493,1.3860589266205805e-05,0.08000467395330334,0.9999051353822559,1.1886915812987963e-05,0.000648830855352598,0.9999163119107032,1.0608788026803888e-05,0.07999938149535003,0.9999280975427152,9.141928508818627e-06,0.07999661139482388,0.999940417266473,7.5256984389196875e-06,0.07999653126830902,0.9999537886383378,5.4675168067726795e-06,0.0011398994042950755,0.9999630797615138,4.69851316341389e-06,0.07999479206651765,0.9999734723821486,3.4838330976331975e-06,0.07999329250414637,0.9999849752894704,2.0348929549309623e-06,0.07999360506993988,0.9999993066994802,9.523632973519623e-08,0.04152572022759919
0.193205,0.002477922902170547,-0.004319183223409067,0.027412310017512865,0.9964382815113604,0.056780999861707065,0.03931844945930023,-0.04838106544485445,0.052678447426900435,-0.08784524644238018,0.3079024608495902,1.1261096827645078,0.8809790629301488,-0.9843997871028791,0.6996121293656373,-1.1072153604704786,-1.2042288032529864,0.029789042910307484,9.382590316193525,-0.7264919092674427,0.5000034809102164,4.734063065866206,4.734061713446399,1.1054120528799474,0.9998003496002613,2.2179246173445756e-05,0.08275231339659138,0.9998013769507369,2.2132460971556456e-05,0.08005353029540975,0.999802404516554,2.2085814372758437e-05,0.08113352519637276,0.9998045729565572,2.1965088638754838e-05,0.000614555047222167,0.9998067017607399,2.1835802747585625e-05,0.08038799908728647,0.999809392389052,2.18104252645048e-05,0.08004672282291275,0.9998121089208286,2.1791155363731793e-05,0.08035743538350973,0.9998303057218983,1.9689844403365085e-05,0.0006407550935792931,0.9998458063711918,1.752942869623255e-05,0.08001938480664515,0.9998612580989173,1.57162300458875e-05,0.08000552916714293,0.9998767836882467,1.3978761502605667e-05,0.08000494599132157,0.9998927901395239,1.23452427319272e-05,0.0007911492184276571,0.9999055180156953,1.0793895007949894e-05,0.07999960121487235,0.9999188227744272,9.274768287978622e-06,0.07999671896312854,0.999932729447688,7.687818785097661e-06,0.07999665277104367,0.9999478537711255,5.9348672122998765e-06,0.0012258204922004027,0.9999582564804658,4.823281047971387e-06,0.07999485541752237,0.9999699319388631,3.5404432855836385e-06,0.07999331624503932,0.999982904316993,2.0709724774428044e-06,0.07999361939884196,0.9999992089603077,9.773917243875623e-08,0.040871583405072666
