t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19
0,0.0,0.0,0.0,1.0,-1.7230037661576862e-29,0.0,-7.414490984082349e-26,0.0,-4.347672432107549e-21,-2.710192791637308e-30,0.0,0.0,8.703795255317921e-24,0.0037456004462010245,-4.762993003553196e-07,-1.6054546472049176,0.0010862618911720902,8.54505413028673,-0.0009130615821431271,0.5000015432811462,4.4880739130316805,4.488070895991457,0.5007594108927087,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0179241,3.0101945433437405e-07,-3.829741458267689e-11,-0.00025884336551412843,0.9999997644767608,8.727597509031926e-08,0.0006863281951318852,-7.333597376865811e-08,6.713669715887722e-05,-8.537259204299091e-09,-0.02877640688051217,1.947031902370076e-05,0.15316281583988353,-1.636585103195454e-05,0.028434904647353956,-0.0006128486513640394,-0.7625925544479266,1.2611716692713053,7.71978914737566,-1.0610670757623732,0.5000016518766079,4.54462370132824,4.544620717282681,1.3842212309663608,0.999978983666475,2.1016333525085852e-05,0.08353472716327381,0.9999794139040117,2.058609598836283e-05,0.08002927477355157,0.9999798464888876,2.0153511112325174e-05,0.08014367502104129,0.9999806086424184,1.9391357581575005e-05,0.0002576672275414103,0.9999813707103625,1.8629289637495886e-05,0.08004498583560618,0.9999823557472605,1.7644252739473033e-05,0.08001117877063103,0.9999833737894562,1.662621054370457e-05,0.08001854981251065,0.9999845152934187,1.5484706581285217e-05,0.0003226012610625345,0.9999856566179247,1.4343382075280644e-05,0.08000765937986172,0.9999868492291584,1.3150770841593577e-05,0.08000087516054524,0.9999880661166487,1.193388335126939e-05,0.08000207660867409,0.9999893127622909,1.0687237709205026e-05,0.0004671902369164239,0.9999905592051458,9.440794854125327e-06,0.07999873860740243,0.9999918268986241,8.173101375941282e-06,0.07999588377189316,0.9999931126979975,6.887302002501966e-06,0.07999653723368172,0.9999944177453802,5.58225461980303e-06,0.0008932027966937805,0.9999957226129853,4.277387014648733e-06,0.07999497979225831,0.9999970519471745,2.9480528255029708e-06,0.07999306792983986,0.9999984223641116,1.5776358883580185e-06,0.07999380780644216,0.9999999280400118,7.195998824469356e-08,0.04945910721831002
0.0358483,5.112285157439775e-06,-4.965239047668581e-08,-0.0008975835613719896,0.9999964026058171,0.00010152364153686299,0.0026790205699062757,-8.555932338413952e-05,0.0005768081395539631,-1.0993327255314212e-05,-0.04244522877407868,0.022624898111275476,0.291533459896009,-0.019035089271722903,0.095928778817997,-0.008427945738218227,1.9488185194366126,5.8324408705441195,4.404809226216517,-4.914700709587143,0.5000017824331375,4.601173482156364,4.60117057220673,4.595582797139453,0.9999579716021798,2.1012064295116677e-05,0.08321408543490051,0.9999586214699883,2.079243402343025e-05,0.08003149244464684,0.9999592729639568,2.0573524930816494e-05,0.08028021617275279,0.9999605115777839,2.00970646344638e-05,0.000248996088227539,0.9999617498829654,1.9620827397177863e-05,0.08008539091369961,0.9999635558768759,1.879987038456076e-05,0.08001624104307,0.9999654305492152,1.7943240241193347e-05,0.08003209575164641,0.9999678486660485,1.6666627370189676e-05,0.00030011607747377605,0.9999702656408369,1.539097708785597e-05,0.08001156846425073,0.9999728099282601,1.4039300898286023e-05,0.08000224276716432,0.9999753978195275,1.2668297121259103e-05,0.08000343801603266,0.9999780313891765,1.1281373114365561e-05,0.00044298971988840656,0.9999806635989085,9.89560623741015e-06,0.07999923653608912,0.9999833154089325,8.511489691660336e-06,0.07999612765350705,0.999985978273327,7.1344246704773596e-06,0.07999671486281644,0.999988649012701,5.768732679161133e-06,0.0008647769661154313,0.9999913183556188,4.404257366458123e-06,0.07999504430964237,0.9999940046735114,3.047273663115259e-06,0.07999310891328884,0.999996759714447,1.6626496646053572e-06,0.07999383963744938,0.9999998496074287,7.843258307138751e-08,0.047006570636843936
0.0537724,2.901770402177912e-05,-1.1797619585540563e-06,-0.0013441583990176566,0.9999835541065258,0.0007715464490673548,0.005645374397857792,-0.0006527738389908112,0.0022962497791065473,-0.00016205707493082897,-0.007514316992036093,0.12716643211817402,0.370485912863347,-0.10712691270706279,0.17465776460977733,-0.035510599896566644,2.038238168315823,5.869534502282661,4.4908675221621035,-4.975702900414073,0.5000019442814134,4.657723253347309,4.657720449773823,4.64641822438632,0.9999369628387631,2.1008763416663096e-05,0.08300000748844107,0.9999377686779405,2.0852792047774037e-05,0.08003218235035366,0.9999385757932893,2.069717066752716e-05,0.08038099267339509,0.9999401638181078,2.0347759676055223e-05,0.000246435777345569,0.9999417520858728,1.999779709256295e-05,0.08012064331649155,0.9999441688170903,1.938705978575334e-05,0.08001961146017096,0.9999466720609191,1.875848829605486e-05,0.08004825873224403,0.9999505297455964,1.7318920452051285e-05,0.00028933789122019093,0.9999543888918341,1.5876749002821088e-05,0.08001391803867657,0.9999584151054972,1.4394822762910922e-05,0.08000285408926758,0.999962481751348,1.2916068179406637e-05,0.08000395257199107,0.9999665748697418,1.1456519434658436e-05,0.00043673229144295647,0.999970669593082,9.99400582649095e-06,0.07999934974956793,0.9999747539680851,8.561440847374063e-06,0.07999616452790455,0.9999788190033282,7.1592699988036615e-06,0.0799967330154133,0.9999828547320981,5.794280602826407e-06,0.0008614744312525622,0.9999868919305648,4.4264250540361845e-06,0.07999505572343764,0.9999909142774784,3.0903960330139604e-06,0.07999312682306678,0.9999950411339937,1.7185804533132246e-06,0.07999386072023362,0.9999997674273604,8.218006836785718e-08,0.04566238488630977
0.0716966,9.594095716996232e-05,-8.770302838354468e-06,-0.0011501860829344112,0.9999516478731013,0.002377574881247364,0.009325906640238234,-0.0020191046435586823,0.0054268414205471405,-0.0007985543269545703,0.02901936582046853,0.23237283787429483,0.4509808874733145,-0.19631214844582376,0.27033202037537557,-0.08526213456160575,2.082412011958932,5.819620052338674,4.648617732158702,-4.9743605308680845,0.5000021495974145,4.714273012623534,4.714270344879944,4.645299924243896,0.9999159567726249,2.100606613822003e-05,0.08282685265647474,0.9999168853522638,2.0883325676614623e-05,0.08003253787461134,0.9999178149798789,2.0760813410416694e-05,0.08046579695276125,0.9999196870934024,2.0476724705461435e-05,0.00024465320549260064,0.9999215600489515,2.0192036921325446e-05,0.08015080977810209,0.9999244190599563,1.9749757133911695e-05,0.08002207027801615,0.9999273655004342,1.9306560484978905e-05,0.08006759820509371,0.999932820928899,1.7708816697392576e-05,0.0002827556601053926,0.9999382835044128,1.6105387421221646e-05,0.08001518258679428,0.9999438877512271,1.4527354270038357e-05,0.08000309245623222,0.9999495073387153,1.2974412632608783e-05,0.08000407839395429,0.9999550986771025,1.1476192639322263e-05,0.0004357491358789237,0.9999606974166727,9.972176409221848e-06,0.07999932448529422,0.9999662298623123,8.524105772761023e-06,0.07999613703173014,0.9999716998379118,7.119165416415003e-06,0.07999670371353354,0.9999770837006388,5.77103145942996e-06,0.0008646954277718031,0.9999824741122122,4.417818352578645e-06,0.07999505124687022,0.9999877938769867,3.120400491745141e-06,0.07999313928525224,0.9999932760757226,1.7650582712098515e-06,0.07999387839666706,0.9999996825315736,8.489578678014703e-08,0.04472242750009373
0.0896207,0.0002338971475330849,-3.515951606991346e-05,-0.0002942156805413275,0.9998847286339089,0.0049165607337151055,0.013740031306620314,-0.004191515895612878,0.010272312592651694,-0.002326805455018097,0.06634482714902362,0.3366845696367866,0.5343034002116568,-0.285473323354024,0.37390696654154765,-0.1535354189544013,1.812568360397371,5.2088685999809785,5.230612640418668,-4.512264189586701,0.5000024167662485,4.770822757168435,4.7708202549676475,4.260220072554376,0.9998949529154386,2.1003857186287888e-05,0.08267638331256326,0.9998959830527464,2.090229951744448e-05,0.08003275937292484,0.9998970140668627,2.0800913016202566e-05,0.08054136503686089,0.9998991329706673,2.055412273505633e-05,0.0002431411929943547,0.9999012505193615,2.0309529589918012e-05,0.08017662708082014,0.9999044299301404,1.998912981587115e-05,0.08002388919302246,0.9999076892999421,1.967620049201273e-05,0.0800893475192398,0.9999148944103636,1.7926518535400305e-05,0.0002787390578238644,0.9999220839899648,1.619951444802442e-05,0.08001573573219167,0.999929334109901,1.4553641326111596e-05,0.08000314015980729,0.9999365660544433,1.294128427208085e-05,0.08000400699594076,0.9999436909760135,1.1407701089090026e-05,0.0004377645769411834,0.9999508004517427,9.896964930034438e-06,0.07999923807823965,0.999957771355765,8.458506547278516e-06,0.07999608904077511,0.9999646456359218,7.0542019899986185e-06,0.07999665672448182,0.9999713698020207,5.7138986181669344e-06,0.0008727193234038868,0.9999780793450562,4.394767156006241e-06,0.07999503924498567,0.9999846464147938,3.1474621928324466e-06,0.07999315049121658,0.9999914691414974,1.8069342251393369e-06,0.07999389446865493,0.9999995954752807,8.705629290117876e-08,0.04399482939115864
0.107545,0.0004749439971780209,-9.938797061383765e-05,0.0011873376090965999,0.9997603045538914,0.008334145618645213,0.018946907530387976,-0.007133765828419032,0.016974276440331955,-0.005078797044499491,0.09883357090042531,0.4300491019087745,0.6280576758849613,-0.36635181499997205,0.5091349011211264,-0.2479011276314391,1.9796416120466571,5.3499494167717065,5.250773366719127,-4.692923865941482,0.5000027761724752,4.827372483220352,4.82737017841007,4.410770359646761,0.9998739508126028,2.1002102835874896e-05,0.08254066837286773,0.9998750675699563,2.0915482790215584e-05,0.08003291130875206,0.9998761850626786,2.0829004184122473e-05,0.08061095770423095,0.9998785291894021,2.0603781265239523e-05,0.00024330600082328064,0.9998808626963149,2.0387823046623473e-05,0.08019878230091404,0.9998842749377655,2.015499237489436e-05,0.08002525711843188,0.9998877570708028,1.993222913928257e-05,0.08011288151887414,0.9998968881162537,1.8006294109925182e-05,0.00027825554187409294,0.9999058605003464,1.6223489618468382e-05,0.08001587647368302,0.9999147987724154,1.4535337485685411e-05,0.08000310612866415,0.9999237015859456,1.2864468497667336e-05,0.08000384352769878,0.999932424628563,1.1266347450518545e-05,0.00044399776836842115,0.9999410009871642,9.799464578476354e-06,0.07999912771689013,0.9999493762020355,8.395153729451874e-06,0.07999604316123347,0.9999576625329344,6.9831029873709725e-06,0.07999660595702936,0.999965753228093,5.616573927727416e-06,0.0008885452542768663,0.99997371449746,4.364847596206208e-06,0.07999502361816474,0.9999814707213396,3.1756934542672593e-06,0.07999316213197534,0.9999896230628101,1.8460786873549683e-06,0.0799939096219574,0.9999995066010043,8.887427631907829e-08,0.0433970346818028
0.125469,0.0008573160907866828,-0.00022752457867217317,0.0032782584434375224,0.999549695682719,0.012591267049478825,0.02499422040548328,-0.010823832409607733,0.026100085816036372,-0.009522213572820478,0.13431696035962096,0.52594238763641,0.722173315402482,-0.45046847744242174,0.6805193233455941,-0.37453989389542486,2.391964894241374,5.921860463505315,4.954829911953794,-5.249411212216703,0.5000032830848866,4.883922185475788,4.883920111819872,4.874510552942892,0.9998529499846032,2.1000827999621306e-05,0.08241546657538452,0.9998541422186582,2.092535129794876e-05,0.08003302125141397,0.9998553350611978,2.0850001480790034e-05,0.08067645955151488,0.9998578933896377,2.0635799764478552e-05,0.00024786669575589334,0.9998604192480841,2.0443448230803925e-05,0.08021783972559829,0.9998640002485921,2.0274689173394957e-05,0.08002630734925799,0.9998676411734073,2.0115897395513934e-05,0.08013783291886281,0.9998789490240958,1.7939092157863103e-05,0.0002842294705815645,0.9998896440821576,1.6216418188791032e-05,0.0800158273185478,0.9999002869023772,1.4511870038246079e-05,0.0800030625040529,0.9999109232832208,1.2778302724718576e-05,0.08000366388453525,0.9999213830655183,1.1041563044727099e-05,0.00045793728852540783,0.9999312982424904,9.702744673892813e-06,0.07999902002092975,0.9999410209647918,8.355237243863532e-06,0.0799960146643,0.9999507424005138,6.920132420517765e-06,0.07999656168314051,0.9999602980859017,5.4551421911699325e-06,0.0009196546849248325,0.9999693799700781,4.33452738186511e-06,0.07999500765805238,0.9999782634336138,3.207287725799921e-06,0.07999317510366503,0.9999877396961827,1.8833666273191015e-06,0.07999392417437577,0.9999994161258398,9.047516465650476e-08,0.04288319835902103
0.143393,0.0014302059430527717,-0.00045494399348816974,0.006071812206301308,0.9992174208643404,0.017741284142123684,0.03185874237126147,-0.015323638603497966,0.0382978149594521,-0.016235522104134554,0.17719089339810773,0.6320866916714878,0.810984420604581,-0.5445597015008922,0.8570002735605954,-0.5203566788646248,2.465442069776418,5.905227028566224,5.1083161084393405,-5.326214026419855,0.5000040486592278,4.9404718563457966,4.9404700507732455,4.93851393176989,0.9998319498380668,2.1000146536300132e-05,0.08229823203610669,0.9998332090311839,2.0933187474382153e-05,0.08003310300385147,0.999834468710347,2.086635085081238e-05,0.08073908570017346,0.9998372360230258,2.0657366611944594e-05,0.0002613849357870411,0.9998399343850726,2.048486301138219e-05,0.08023426925818476,0.9998436362533857,2.0363995206371026e-05,0.08002713117395127,0.9998473891144894,2.0252058917863554e-05,0.08016401803081069,0.9998612177210185,1.7731303077287083e-05,0.0003012572322532973,0.9998734348421671,1.620923999045449e-05,0.0800157749804925,0.9998857773906794,1.4509511697725402e-05,0.08000305688758791,0.9998982045439248,1.2718739296005739e-05,0.08000354226094707,0.9999106488468087,1.0734218709579895e-05,0.0004846164768287813,0.9999216637961099,9.634446380446522e-06,0.07999894487497192,0.9999326663096708,8.354655120991301e-06,0.07999601481866146,0.9999438604556095,6.88194490444148e-06,0.07999653555083515,0.99995509793719,5.20014871187142e-06,0.0009780395851259598,0.9999650676118826,4.312358195407795e-06,0.07999499563956272,0.9999750198669497,3.243566664022181e-06,0.07999318993675802,0.9999858204539982,1.9192421844599523e-06,0.07999393829753815,0.9999993241698207,9.195601896132333e-08,0.0424213546765283
0.161317,0.002249618438428071,-0.0008254397903069443,0.009645879053827446,0.9987202080320104,0.023824060510225887,0.03952763826035754,-0.020686392649087965,0.05365881479312862,-0.0255624722861718,0.22138184221359475,0.737932855555138,0.9025466351253393,-0.6400275505764106,1.0522567965208538,-0.6933561600239381,2.5240502686253063,5.862183558943574,5.286303378163517,-5.395504880259255,0.5000053319168979,4.997021484749458,4.997019992430606,4.996257906480751,0.9998109496462301,2.1000191836708423e-05,0.08218731229942162,0.999812269289238,2.0939741945807083e-05,0.08003316412254591,0.9998135892923843,2.0879417962710585e-05,0.08079963468455449,0.9998165584144814,2.0677608544397452e-05,0.00029092962234037286,0.9998194176074882,2.0516777584396264e-05,0.08024843529695655,0.9998232039380027,2.043231538300541e-05,0.08002778990348583,0.9998270334896674,2.0355624821993733e-05,0.08019132541229564,0.9998436755892374,1.754213178114098e-05,0.0003340654960014552,0.9998572063765621,1.622846560498009e-05,0.08001587892344399,0.9998712372212298,1.4540169449657852e-05,0.08000311079552298,0.9998854821983769,1.2722345547854491e-05,0.08000355068136485,0.9999001990251656,1.0449821643147174e-05,0.0005269911084881968,0.9999120325999131,9.631196196752209e-06,0.07999894080254166,0.9999242634638204,8.402845850460497e-06,0.07999605052880784,0.9999369715462061,6.8889094033604326e-06,0.07999654172617111,0.9999502306728918,4.867264298155985e-06,0.0010730119866782203,0.9999607567318577,4.310880024974491e-06,0.07999499381126354,0.9999717346514414,3.285215508314324e-06,0.0799932068958551,0.9999838665229307,1.9539310675062205e-06,0.07999395207951566,0.9999992307561802,9.341364055671625e-08,0.041983587136067264
