t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,mu_0,nu_0,tau_0,mu_1,nu_1,tau_1,mu_2,nu_2,tau_2,mu_3,nu_3,tau_3,mu_4,nu_4,tau_4,mu_5,nu_5,tau_5,mu_6,nu_6,tau_6,mu_7,nu_7,tau_7,mu_8,nu_8,tau_8,mu_9,nu_9,tau_9,mu_10,nu_10,tau_10,mu_11,nu_11,tau_11,mu_12,nu_12,tau_12,mu_13,nu_13,tau_13,mu_14,nu_14,tau_14,mu_15,nu_15,tau_15,mu_16,nu_16,tau_16,mu_17,nu_17,tau_17,mu_18,nu_18,tau_18,mu_19,nu_19,tau_19,mu_20,nu_20,tau_20
0,0.0,0.0,0.0,1.0,7.802330525439375e-27,-2.108815861322389e-24,-4.386708640097181e-26,0.0,-1.507016413794191e-21,-3.4090518075816866e-27,-4.22791708223972e-25,0.0,-3.0267129507613816e-22,-5.822831503386036e-06,-0.010870567468332844,-1.5977174063209698,11.394465086399894,0.02178973250359404,-9.571370362456989,0.500006197576385,4.488073867082683,0.5000004161397759,4.4880747153476355,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0,0
0.0264482,-1.5941791746314463e-09,-1.90379028100979e-06,-0.0005618333783148249,0.9999966138760507,0.0019926325292541763,1.9046459941704988e-06,-0.0016738108526484757,-1.540035442702717e-07,-0.000287507189136224,-0.042256785753228845,0.3013633500040357,0.000576299697544614,-0.2531457347657494,-0.002277987491254416,-0.08704750691558805,-0.07899756648832834,8.989196624053086,-1.749490874867858,-7.544557325016574,2.2546556685036565,4.520893118741936,0.5000005201966232,4.520894174138824,0.9999563315751581,4.366842484194444e-05,0.08077011853171621,0.9999773313748943,2.2668625105735794e-05,0.09338657455262606,0.9999774404075112,2.2559592488798975e-05,0.0800004280564771,0.9999775494467926,2.2450553207317595e-05,0.08000028497619646,0.9999776584995455,2.234150045454967e-05,0.08047218027701356,0.9999789940997456,2.100590025444914e-05,0.07999851479155726,0.9999803318215834,1.9668178416614665e-05,0.07999705958662733,0.9999816711361842,1.8328863815837312e-05,0.0800233152726395,0.9999830189339821,1.6981066017816538e-05,0.0799945646413243,0.9999843676028922,1.563239710780017e-05,0.07999348773430093,0.9999857169824445,1.4283017555564184e-05,0.08000508753001896,0.9999870676442029,1.2932355797141431e-05,0.07999160861764966,0.9999884189216112,1.1581078388835973e-05,0.07999078406215658,0.999989770979512,1.0229020487917708e-05,0.07999870491834637,0.9999911245382701,8.875461729934722e-06,0.07998932131280885,0.9999924801178336,7.519882166344371e-06,0.07998866901592062,0.9999938393907827,6.16060921726845e-06,0.07999544906650154,0.9999952061600229,4.793839977091805e-06,0.0799874922681776,0.9999965875708572,3.4124291428285085e-06,0.0799869556615341,0.9999980036710313,1.996328968660406e-06,0.07999344301238218,0.9999995366382475,4.6336175255814616e-07,0.07998592392215938
0.0528964,-4.1539442378150163e-07,-3.372185344740775e-05,-0.0017071675517272209,0.9999513559125777,0.0075483999326635244,-0.0003006089561534188,-0.006341729410513121,-6.0402723991104476e-05,-0.0025897590363854594,-0.044346130983441055,0.5391116240939715,-0.04569462454978652,-0.452685866972416,-0.022135461090973804,-0.26369977209073947,1.8278028936950461,5.8362413560095545,-4.068786028024489,-4.864460743491661,4.553707905750295,4.5537122529608185,0.5000006776981821,4.553713616730711,0.9999126940090749,4.3637566083181174e-05,0.0807400451001709,0.9999546640975984,2.2667277296017465e-05,0.09211251392851212,0.9999548003411595,2.264006635172708e-05,0.0800005345360585,0.9999549365860473,2.2612860745354145e-05,0.08000049861342928,0.9999550728338055,2.2585665739970338e-05,0.08173190136678106,0.999957803222903,2.119087684261355e-05,0.0799987292726779,0.9999605342110902,1.979761049316715e-05,0.07999719340739701,0.9999632646594676,1.840647671655719e-05,0.08002400190794265,0.9999659804975476,1.703843643457864e-05,0.07999461271700781,0.9999686941151911,1.567348770106919e-05,0.0799935190787858,0.9999714051132227,1.431186922179347e-05,0.08000515516599054,0.9999741095982929,1.2958045909920512e-05,0.07999162503547239,0.9999768111885233,1.1607733087939695e-05,0.07999079969260844,0.9999795102734894,1.0260706022612949e-05,0.07999873864757934,0.9999822073864876,8.917151782541865e-06,0.07998934214409918,0.9999849050546259,7.575063207800589e-06,0.0799886945814789,0.9999876073745851,6.23201619755365e-06,0.07999549230969938,0.9999903233456277,4.882814395266976e-06,0.0799875280956708,0.9999930703009187,3.5172699385123323e-06,0.0799869951767304,0.9999958955961374,2.108074893819479e-06,0.07999348625730622,0.9999989894993787,5.47138868769447e-07,0.07998595119145638
0.0793447,-7.774561559261405e-06,-0.00018365635778790464,-0.0022370255555581716,0.9997886605360142,0.015688039698498732,-0.001620345787399907,-0.013186949433792085,-0.0006458463282039908,-0.009564149331145185,0.0039960069768979175,0.6934698351326295,-0.1533067834846198,-0.5813422079683184,-0.0748089176452225,-0.4733504147346025,1.8413047270354979,5.952923708885121,-3.949366598535921,-4.903839264448798,4.58653053386773,4.586531160663011,0.5000009426765613,4.586533036255275,0.9998690721517984,4.362185727651057e-05,0.08072501643240965,0.9999319979895498,2.2666108048539018e-05,0.09105939354475354,0.9999321492344604,2.2651106699064854e-05,0.0800005489964864,0.9999323004799271,2.2636106120135684e-05,0.08000053004324395,0.9999324517268842,2.262110692125299e-05,0.08279495874999897,0.9999365999007666,2.1203322136375355e-05,0.07999874425847747,0.9999407470839444,1.9787127145886215e-05,0.07999718214314741,0.9999448903714903,1.8374287977285136e-05,0.08002371210389715,0.9999489782675922,1.7002229955355624e-05,0.07999458190721219,0.9999530584190205,1.5635696170616904e-05,0.07999349036923006,0.9999571300882006,1.4275025021985978e-05,0.08000506915849882,0.999961182007317,1.2927590975969953e-05,0.07999160590010225,0.9999652250800215,1.1586108501896557e-05,0.0799907871388511,0.9999692601261909,1.0250147298484396e-05,0.07999872739750137,0.9999732873044684,8.920082019057986e-06,0.0799893435345266,0.9999773121141888,7.592940437035914e-06,0.07998870264993614,0.9999813416781034,6.265696481808813e-06,0.07999551276926732,0.9999853911637031,4.932181924527568e-06,0.0799875479505214,0.9999894899905701,3.5803103485818707e-06,0.07998701928494822,0.9999937175068615,2.178089275968241e-06,0.07999351368075369,0.9999983884715513,6.010278274012979e-07,0.07998596902615338
0.105793,-4.690196088787112e-05,-0.0005888168908096047,-0.0014832095812007794,0.9994190969880351,0.025870070547389604,-0.0043431580728913585,-0.021756549961417102,-0.0026244092410562083,-0.022083426509016655,0.052695244432107546,0.8509140870237804,-0.25776051075518824,-0.7110400408555787,-0.16517263740654956,-0.7280520878432574,1.8463156441466078,6.090945128986851,-3.7923543928228494,-4.943219279849024,4.6193510917300165,4.619349546387324,0.5000014769125577,4.619352422129434,0.9998254595668619,4.361258493644155e-05,0.08071504235304516,0.9999093327942924,2.2665195257430163e-05,0.09009352756970539,0.9999094939588061,2.2655275654313082e-05,0.0800005538886689,0.999909655123506,2.26453564211826e-05,0.08000054393225303,0.9999098162892278,2.2635437656347336e-05,0.08377118417346796,0.9999154062937449,2.1193607021723934e-05,0.07999873412470644,0.9999209929193559,1.9754164588565336e-05,0.07999714698450593,0.9999265703423248,1.8320029165355722e-05,0.08002323158879406,0.9999320315886508,1.6946678941345185e-05,0.07999453433640873,0.9999374768127379,1.558160628257048e-05,0.07999344948961594,0.999942905135114,1.4224953086803725e-05,0.08000495372080899,0.9999482958859679,1.2886121349092352e-05,0.07999158022251769,0.9999536699140026,1.15551660188869e-05,0.0799907693846824,0.9999590288827893,1.0231243401581541e-05,0.07999870733336352,0.9999643728179975,8.914486470948793e-06,0.07998934056162178,0.9999697108774817,7.6012367071400285e-06,0.07998870582073961,0.9999750536093163,6.288068787119804e-06,0.07999552624164386,0.9999804229404006,4.9682233025395915e-06,0.07998756223481886,0.9999858617363684,3.628254201664121e-06,0.07998703822627824,0.9999914851413246,2.232365536866889e-06,0.0799935352681903,0.999997745508667,6.429628842411673e-07,0.07998598342884711
0.132241,-0.0001677679914739679,-0.0014116733474854315,0.0005609699050521065,0.9987226766949323,0.03812839331253276,-0.008420375766363073,-0.032067760728186935,-0.006992931936979165,-0.04133911025601026,0.10152701173893777,1.012008760169354,-0.35806154424448466,-0.8417794051595606,-0.29452198510744015,-1.026849999543478,1.8385856044116675,6.2485580516954,-3.5957744442085806,-4.982596496279609,4.652171131300137,4.65216620931917,0.5000030882589034,4.652171757139547,0.9997818513460446,4.360822081723348e-05,0.08070764699604126,0.9998866680426947,2.266475159774279e-05,0.08917541805688722,0.9998868367001319,2.2657258674198093e-05,0.08000055504610114,0.9998870053574662,2.2649766039791848e-05,0.08000055304479371,0.9998871740156727,2.264227355502238e-05,0.08469508518879844,0.9998942310821834,2.1175211561503752e-05,0.07999871520898079,0.999901281375109,1.971154424680183e-05,0.07999710103867348,0.9999083146491502,1.8255693174723842e-05,0.08002267353578267,0.999915148784614,1.688280403696413e-05,0.07999447894693736,0.9999219555321444,1.5521280593474846e-05,0.07999340418536455,0.9999287343761343,1.4170758979698805e-05,0.08000483072474751,0.9999354540062231,1.2841879744869375e-05,0.07999155349343186,0.9999421475733548,1.152234064785753e-05,0.07999075100029512,0.9999488181599981,1.0210722791117426e-05,0.07999868571262785,0.9999554662145455,8.906603452101766e-06,0.07998933634836439,0.9999621049241737,7.605953307951822e-06,0.07998870656513443,0.9999687483752706,6.305234045671916e-06,0.07999553630613039,0.9999754254525138,4.997487886737654e-06,0.07998757338838541,0.9999821935294203,3.668206948094314e-06,0.07998705497277883,0.9999892070109613,2.278130363335539e-06,0.07999355389810398,0.9999970672511583,6.782575087238872e-07,0.07998599641894448
0.158689,-0.00044715664982562163,-0.002845903310286288,0.0038948353642562663,0.997549865275648,0.05250173252040891,-0.01378930402393591,-0.044132680448937485,-0.014782514985309888,-0.06849746771005359,0.15015433323347915,1.1772720149930678,-0.4531633874770373,-0.9735602268524918,-0.5656621602650723,-1.6825399687595959,4.495812988095051,1.5721389599114497,0.12077359664486093,-0.9996746733038153,4.684990962177811,4.684963471570023,3.8519012908193733,4.684991009180335,0.9997382424074731,4.360893857148714e-05,0.08070186416904956,0.9998640029664767,2.2665076217998168e-05,0.08828922924680183,0.9998641784003347,2.265829979721648e-05,0.08000055359550458,0.9998643538337652,2.265152370099744e-05,0.08000056105243906,0.9998645292681289,2.2644747543908704e-05,0.08558057097448799,0.9998730796984158,2.1151383767729117e-05,0.07999869203276636,0.9998816188367669,1.966253834225306e-05,0.07999704743680723,0.9998901299848219,1.8184664328308592e-05,0.08002207094373173,0.9998983349362808,1.681384833317219e-05,0.07999441802868341,0.9999064977136862,1.5457818458138863e-05,0.07999335681717204,0.9999146190294843,1.4115346649882433e-05,0.08000470712873396,0.9999226564736846,1.2797532538466481e-05,0.07999152765111699,0.9999306575134492,1.149005990559446e-05,0.07999073368476145,0.9999386273582715,1.019080172650596e-05,0.07999866497840771,0.9999465677014403,8.898513105121529e-06,0.07998933196788785,0.9999544957666332,7.609157540517199e-06,0.07998870544674497,0.9999624289452289,6.319430041618527e-06,0.07999554417861496,0.999970402885576,5.022566937826816e-06,0.07998758219486755,0.9999784903932235,3.703136196792591e-06,0.07998707100901094,0.9999868885273661,2.3184835952278445e-06,0.079993570902412,0.9999963579975132,7.092536450977057e-07,0.0799860091371584
0.185138,-0.0010238599013007166,-0.005222359308170159,0.009450943796297934,0.9958320067153631,0.06820954700112158,-0.019758855553347315,-0.05723341365202461,-0.029743273765594345,-0.11299765948353883,0.2690605963015995,1.2188522962996708,-0.4499691404982675,-0.9999998452265574,-0.8173651452758706,-2.2010193564607925,5.04510025389847,0.37381353219257585,1.0489947735999667,-4.412886121145183e-08,4.717810459736307,4.717802224453155,4.717802188265456,4.71781046032266,0.9996946261268188,4.361628065423655e-05,0.08069725542560084,0.9998413362296669,2.2666736809689714e-05,0.08743022677377164,0.9998415194301579,2.2658970176757544e-05,0.08000054937012495,0.9998417026297816,2.2651203983580106e-05,0.08000057003212473,0.9998418858306057,2.2643437523034353e-05,0.08643125189735545,0.9998519566683561,2.11230300595609e-05,0.07999866688403522,0.9998620105046842,1.960833208267228e-05,0.07999698690988631,0.9998720214863461,1.8108498475689142e-05,0.08002143810899694,0.9998815936573838,1.6741278896957708e-05,0.0799943520176733,0.9998911051285818,1.539258510440714e-05,0.07999330837463371,0.9999005590847792,1.4059944705212448e-05,0.08000458591544346,0.9999099022900906,1.2754183594046955e-05,0.07999150379480428,0.9999191981999238,1.1459313525411276e-05,0.0799907185058748,0.9999284549782671,1.0172380004460738e-05,0.07999864623047036,0.9999376766298214,8.891071618954763e-06,0.07998932791765054,0.9999468840275708,7.611739062243438e-06,0.0799887021912944,0.9999560972525874,6.331692641575684e-06,0.07999555024364959,0.9999653581379256,5.0447476503765765e-06,0.07998758871825142,0.9999747558146996,3.7345785238720042e-06,0.07998708754791771,0.999984533468236,2.355059130099769e-06,0.07999358715824195,0.9999956207903886,7.372071245273723e-07,0.07998602265492093
0.211586,-0.0020836182460815993,-0.008956411976103725,0.0183464716437075,0.9936233792541216,0.0842410864935206,-0.025521647501768382,-0.0704604070633752,-0.05136112914442005,-0.17121070956155038,0.40249453129480683,1.2287389998425038,-0.42222509312862544,-0.9999998463936873,-1.0413834776669402,-2.6302573475797884,4.889092961789712,0.3499383027068933,1.0572073346018067,3.826897812817411e-07,4.750629955008925,4.750625519083231,4.750625822761196,4.75062993977874,0.9996509935585951,4.363256822372325e-05,0.08069361362460922,0.9998186657569562,2.267047271063257e-05,0.0866017819636575,0.9998188597864923,2.26596436655474e-05,0.08000054167033835,0.9998190538145365,2.2648815245049085e-05,0.08000058165194068,0.9998192478442748,2.2637986330971877e-05,0.08724284307182231,0.9998308664323631,2.1090235993104696e-05,0.07999864141902445,0.9998424610411385,1.954946354559573e-05,0.0799969194070973,0.9998539932627191,1.8028223626988466e-05,0.08002078340697198,0.9998649276612409,1.6665996142930547e-05,0.07999428066417592,0.9998757787978387,1.5326330743009415e-05,0.07999325933566626,0.9998865539367889,1.4005147990240753e-05,0.08000446856425597,0.9998971899525312,1.2712337559332567e-05,0.07999148273181081,0.9999077676641435,1.1430535780367227e-05,0.07999070635821681,0.9999182991302764,1.0155847990722318e-05,0.07999863007860322,0.9999287919623766,8.884667444853672e-06,0.07998932450520574,0.9999392698917181,7.6141358527973414e-06,0.07998869612714227,0.9999497546736538,6.342578933608575e-06,0.07999555452638155,0.9999602933723051,5.064765620664183e-06,0.07998759266728944,0.9999709923765083,3.763438191322959e-06,0.07998710573055955,0.9999821446379179,2.3888303180766175e-06,0.07999360335745691,0.9999948579140381,7.628763506473663e-07,0.07998603806767543
0.238034,-0.0037937056293347042,-0.014380948727486827,0.030717443747973104,0.990946435781537,0.10038474354514287,-0.030915377938624766,-0.08362002145257214,-0.07890387126428895,-0.24077634161438577,0.5318023506855302,1.2379942459991968,-0.3942638381167764,-0.9999998362722228,-1.26305670294809,-3.0500285567626446,4.716700901183487,0.3258835105054119,1.0648711675361484,4.6921132563166163e-07,4.783449465340804,4.7834464445751825,4.783446801928387,4.783449431684571,0.9996073337866918,4.365977190343373e-05,0.08069082385196523,0.9997959888791356,2.2676877820692642e-05,0.08581431013690782,0.9997961992282705,2.2660558221911956e-05,0.08000052979978588,0.9997964095749664,2.2644239570164717e-05,0.08000059709328694,0.999796619924187,2.2627920087830478e-05,0.08800430314661521,0.9998098135343869,2.1052897976090544e-05,0.07999861679653511,0.9998229748673695,1.9486173768931555e-05,0.07999684476638799,0.9998360487729419,1.7944489777251463e-05,0.0800201126254787,0.9998483390995128,1.658856172812825e-05,0.07999420366037695,0.9998605192870094,1.525951082950846e-05,0.07999320993741972,0.9998726026456619,1.3951291126969919e-05,0.08000435584084638,0.9998845176991176,1.2672253413620319e-05,0.07999146499425244,0.9998963637313013,1.1403932842038882e-05,0.07999069791613746,0.9999081577437811,1.0141386495365414e-05,0.07999861689081336,0.999919912479695,8.879482681624986e-06,0.07998932195573429,0.9999316533214305,7.6165702875351405e-06,0.07998868663638088,0.9999434022659051,6.352407748687631e-06,0.07999555695804393,0.9999552102925731,5.083079731959763e-06,0.0799875937273346,0.9999672020788873,3.7902976209698525e-06,0.07998712642064135,0.9999797242098882,2.4204280297487298e-06,0.07999362000238538,0.9999940711563672,7.8675767089942e-07,0.07998605623925945
